fecha,aerolinea,vuelos,pasajeros,asientos,ocupacion
2023-09-01,LADE - Líneas Aéreas Del Estado,114,1207,4253,29
2023-10-01,Aerolíneas Argentinas,8115,970396,1112902,88
2023-10-01,Flybondi,2024,346287,382225,91
2023-10-01,JetSMART Airlines,1355,219561,251908,88
2023-10-01,LADE - Líneas Aéreas Del Estado,124,1260,4820,27
2023-11-01,Aerolíneas Argentinas,8301,1015258,1145732,89
2023-11-01,Flybondi,1878,322545,354674,91
2023-11-01,JetSMART Airlines,1289,213061,239589,89
2023-11-01,LADE - Líneas Aéreas Del Estado,89,950,2755,35
2023-12-01,Aerolíneas Argentinas,8605,1015026,1181308,86
2023-12-01,Flybondi,1742,298404,329205,91
2023-12-01,JetSMART Airlines,1118,176938,207932,86
2023-12-01,LADE - Líneas Aéreas Del Estado,89,1101,3482,32
2024-01-01,Aerolíneas Argentinas,8300,973881,1113292,88
2024-01-01,Flybondi,1546,272310,292016,94
2024-01-01,JetSMART Airlines,958,158674,178183,90
2024-01-01,LADE - Líneas Aéreas Del Estado,81,861,2569,34
2024-02-01,Aerolíneas Argentinas,7767,884422,1042093,85
2024-02-01,Flybondi,1629,278941,307797,91
2024-02-01,JetSMART Airlines,849,137314,157899,87
2024-02-01,LADE - Líneas Aéreas Del Estado,70,763,2494,31
2024-03-01,Aerolíneas Argentinas,8491,950419,1144381,84
2024-03-01,Flybondi,1611,276139,304475,91
2024-03-01,JetSMART Airlines,964,150921,179191,85
2024-03-01,LADE - Líneas Aéreas Del Estado,66,708,2382,30
2024-04-01,Aerolíneas Argentinas,6921,781904,946834,83
2024-04-01,Flybondi,1630,260978,307928,85
2024-04-01,JetSMART Airlines,910,135506,169260,81
2024-04-01,LADE - Líneas Aéreas Del Estado,71,850,2306,37
